Vietnamese,English
Xin chào,Hello
Chào buổi sáng,Good morning
Chào buổi tối,Good evening
Cảm ơn,Thank you
Không có gì,You're welcome
Xin lỗi,Sorry/Excuse me
Tạm biệt,Goodbye
Hẹn gặp lại,See you later
Bạn tên là gì?,What's your name?
Tên tôi là...,My name is...
Bạn khỏe không?,How are you?
"Tôi khỏe, cảm ơn","I'm fine, thank you"
Bạn đến từ đâu?,Where are you from?
Tôi đến từ...,I'm from...
Bạn bao nhiêu tuổi?,How old are you?
Tôi ... tuổi,I'm ... years old
Bạn làm nghề gì?,What do you do for a living?
Tôi là...,I am...
Bạn nói tiếng Anh không?,Do you speak English?
Tôi không hiểu,I don't understand
Tôi hiểu rồi,I understand
Bạn có thể nói chậm hơn được không?,"Can you speak more slowly, please?"
Cái này bao nhiêu tiền?,How much is this?
Mắc quá!,Too expensive!
Giá rẻ,Cheap
Bạn sống ở đâu?,Where do you live?
Tôi sống ở...,I live in...
Đây là gì?,What is this?
Nhà vệ sinh ở đâu?,Where is the restroom?
Tôi đói,I'm hungry
Tôi khát nước,I'm thirsty
Cho tôi menu,Please give me the menu
Ngon quá!,Very delicious!
Bạn thích gì?,What do you like?
Tôi thích...,I like...
Chúc mừng sinh nhật,Happy birthday
Chúc mừng năm mới,Happy New Year
Chúc may mắn,Good luck
Tôi yêu bạn,I love you
Giúp tôi với!,Help me!
Bệnh viện ở đâu?,Where is the hospital?
Gọi cấp cứu,Call an ambulance
Tôi cần bác sĩ,I need a doctor
Đừng lo,Don't worry
Tôi bị lạc đường,I'm lost
Rẽ trái,Turn left
Rẽ phải,Turn right
Đi thẳng,Go straight
Ở đây,Here
Ở đó,There
Gần đây không?,Is it near here?
Bao xa?,How far?
Đi bộ được không?,Can I walk there?
Đi bằng taxi,Go by taxi
Bến xe buýt ở đâu?,Where is the bus stop?
Ga tàu ở đâu?,Where is the train station?
Tôi muốn đặt phòng,I want to book a room
Có wifi không?,Is there Wi-Fi?
Mật khẩu là gì?,What is the password?
Phòng bao nhiêu?,Which room number?
Tôi muốn trả phòng,I want to check out
Mấy giờ rồi?,What time is it?
Muộn rồi,It's late
Sớm quá,Too early
Chờ một chút,Wait a moment
Nhanh lên!,Hurry up!
Từ từ thôi,Take it easy
Tôi đồng ý,I agree
Tôi không đồng ý,I disagree
Có thể,Maybe
Chắc chắn,Certainly
Không sao,It's okay
Không được,Not possible
Tôi bận,I'm busy
Tôi rảnh,I'm free
Hôm nay,Today
Ngày mai,Tomorrow
Hôm qua,Yesterday
Tuần này,This week
Tháng này,This month
Năm nay,This year
Chúc ngủ ngon,Good night
Ngủ ngon nhé,Sleep well
Chào mừng,Welcome
Chúc sức khỏe,Bless you (after sneeze)
Xin mời,Please/Go ahead
Cẩn thận,Be careful
Chúc vui vẻ,Have fun
Chúc một ngày tốt lành,Have a nice day
Tôi hy vọng thế,I hope so
Tôi quên rồi,I forgot
Tôi nhớ rồi,I remember now
Bạn có chắc không?,Are you sure?
Tôi cần nghỉ ngơi,I need to rest
Bạn đã sẵn sàng chưa?,Are you ready?
Chưa sẵn sàng,Not ready yet
Tôi sẵn sàng rồi,I'm ready
Tôi đang tìm...,I'm looking for...
Có thể giúp tôi không?,Can you help me?
"Không cần, cảm ơn","No need, thank you"
Hãy giữ liên lạc,Keep in touch
Hãy cố lên,Keep it up
Bạn giỏi quá,You're very good
Chúc mừng,Congratulations
